Cycle start time,Cycle end time,Cycle timezone,Workout start time,Workout end time,Duration (min),Activity name,Activity Strain,Energy burned (cal),Max HR (bpm),Average HR (bpm),HR Zone 1 %,HR Zone 2 %,HR Zone 3 %,HR Zone 4 %,HR Zone 5 %,GPS enabled,Distance (meters),Altitude gain (meters),Altitude change (meters)
2025-03-26 00:33:11,2025-03-27 01:29:28,UTC-04:00,2025-03-26 19:31:30,2025-03-26 21:17:59,106,Lacrosse,11.5,669.0,165,123,53,24,2,0,0,false,,,
2025-03-25 00:01:24,2025-03-26 00:33:11,UTC-04:00,2025-03-25 19:28:30,2025-03-25 21:08:59,100,Lacrosse,10.5,612.0,169,123,73,14,1,0,0,false,,,
2025-03-23 00:28:48,2025-03-24 00:49:02,UTC-05:00,2025-03-23 09:09:00,2025-03-23 10:17:59,68,Lacrosse,10.0,478.0,164,126,48,34,2,0,0,false,,,
2025-03-22 01:02:24,2025-03-23 00:28:48,UTC-05:00,2025-03-22 16:48:00,2025-03-22 18:13:29,85,Lacrosse,10.3,508.0,165,121,46,23,4,0,0,false,,,
2025-03-20 00:52:55,2025-03-21 01:26:08,UTC-04:00,2025-03-20 16:30:00,2025-03-20 16:44:59,14,Walking,4.5,53.0,139,110,58,0,0,0,0,false,,,
2025-03-18 00:22:32,2025-03-19 00:21:09,UTC-04:00,2025-03-18 19:31:30,2025-03-18 21:11:59,100,Lacrosse,11.2,644.0,163,124,62,23,1,0,0,false,,,
2025-03-16 23:51:44,2025-03-18 00:22:32,UTC-04:00,2025-03-17 13:45:00,2025-03-17 15:05:00,80,Functional Fitness,7.3,313.0,140,111,56,0,0,0,0,false,,,
2025-03-16 01:32:37,2025-03-16 23:51:44,UTC-04:00,2025-03-16 14:33:00,2025-03-16 15:10:29,37,Walking,5.4,130.0,157,109,38,4,0,0,0,false,,,
2025-03-15 02:11:34,2025-03-16 01:32:37,UTC-04:00,2025-03-15 12:04:30,2025-03-15 12:56:59,52,Lacrosse,10.9,498.0,166,139,31,56,11,0,0,false,,,
2025-03-14 02:40:22,2025-03-15 02:11:34,UTC-04:00,2025-03-14 14:09:00,2025-03-14 14:26:59,17,Walking,4.4,45.0,125,105,31,0,0,0,0,false,,,
2025-03-14 02:40:22,2025-03-15 02:11:34,UTC-04:00,2025-03-14 12:46:41,2025-03-14 14:01:21,74,Functional Fitness,6.3,247.0,135,107,45,0,0,0,0,false,,,
2025-03-12 04:50:57,2025-03-13 01:30:08,UTC-04:00,2025-03-12 19:33:00,2025-03-12 21:59:59,146,Lacrosse,13.3,985.0,167,125,57,25,3,0,0,false,,,
2025-03-12 04:50:57,2025-03-13 01:30:08,UTC-04:00,2025-03-12 13:21:00,2025-03-12 13:44:59,23,Walking,4.8,85.0,140,109,53,0,0,0,0,false,,,
2025-03-12 04:50:57,2025-03-13 01:30:08,UTC-04:00,2025-03-12 12:05:00,2025-03-12 13:15:29,70,Functional Fitness,7.7,340.0,152,115,69,3,0,0,0,false,,,
2025-03-11 02:10:33,2025-03-12 04:50:57,UTC-04:00,2025-03-11 13:46:25,2025-03-11 15:02:42,76,Functional Fitness,9.3,451.0,152,121,63,13,0,0,0,false,,,
2025-03-10 01:10:05,2025-03-11 02:10:33,UTC-04:00,2025-03-10 15:19:30,2025-03-10 15:40:29,20,Walking,4.8,83.0,141,112,67,0,0,0,0,false,,,
2025-03-10 01:10:05,2025-03-11 02:10:33,UTC-04:00,2025-03-10 13:45:00,2025-03-10 15:03:00,78,Functional Fitness,9.5,453.0,154,120,52,20,0,0,0,false,,,
2025-03-01 23:31:43,2025-03-02 23:42:23,UTC-07:00,2025-03-02 11:03:00,2025-03-02 11:59:59,56,Lacrosse,9.8,444.0,166,130,58,33,3,0,0,false,,,
2025-03-01 04:43:08,2025-03-01 23:31:43,UTC-07:00,2025-03-01 16:16:30,2025-03-01 17:20:59,64,Lacrosse,7.1,254.0,165,110,42,3,4,0,0,false,,,
2025-03-01 04:43:08,2025-03-01 23:31:43,UTC-07:00,2025-03-01 13:58:30,2025-03-01 15:04:29,65,Lacrosse,11.3,549.0,165,132,38,45,7,0,0,false,,,
2025-02-26 00:53:31,2025-02-27 00:46:51,UTC-05:00,2025-02-26 19:31:30,2025-02-26 21:10:29,98,Lacrosse,13.2,855.0,168,134,58,31,10,0,0,false,,,
2025-02-26 00:53:31,2025-02-27 00:46:51,UTC-05:00,2025-02-26 13:43:00,2025-02-26 15:03:54,80,Functional Fitness,8.8,442.0,141,118,80,0,0,0,0,false,,,
2025-02-25 00:47:14,2025-02-26 00:53:31,UTC-05:00,2025-02-25 19:31:30,2025-02-25 21:07:29,95,Lacrosse,13.2,841.0,166,134,52,35,11,0,0,false,,,
2025-02-23 01:37:54,2025-02-24 00:12:06,UTC-05:00,2025-02-23 12:07:30,2025-02-23 12:28:29,20,Lacrosse,7.4,210.0,161,141,37,56,7,0,0,false,,,
2025-02-04 01:35:36,2025-02-05 01:35:36,UTC-05:00,2025-02-04 13:39:41,2025-02-04 14:56:17,76,Functional Fitness,10.2,502.0,163,126,63,19,2,0,0,false,,,
2025-02-02 23:07:53,2025-02-04 01:35:36,UTC-05:00,2025-02-03 14:57:00,2025-02-03 15:25:18,28,Activity,5.1,109.0,139,112,64,0,0,0,0,false,,,
2025-02-02 23:07:53,2025-02-04 01:35:36,UTC-05:00,2025-02-03 13:11:53,2025-02-03 14:33:38,81,Functional Fitness,11.4,572.0,160,128,43,33,3,0,0,false,,,
2025-02-01 03:02:40,2025-02-02 01:29:06,UTC-05:00,2025-02-01 16:29:17,2025-02-01 17:38:55,69,Functional Fitness,7.2,257.0,159,112,39,8,0,0,0,false,,,
2025-01-29 01:30:59,2025-01-30 00:55:02,UTC-05:00,2025-01-29 19:30:00,2025-01-29 21:05:59,95,Lacrosse,11.8,666.0,172,127,51,26,6,0,0,false,,,
2025-01-29 01:30:59,2025-01-30 00:55:02,UTC-05:00,2025-01-29 13:44:55,2025-01-29 14:17:51,32,Functional Fitness,5.0,106.0,145,108,40,0,0,0,0,false,,,
2025-01-28 00:23:53,2025-01-29 01:30:59,UTC-05:00,2025-01-28 19:24:00,2025-01-28 21:07:29,103,Lacrosse,11.5,711.0,169,127,75,19,1,0,0,false,,,
2025-01-28 00:23:53,2025-01-29 01:30:59,UTC-05:00,2025-01-28 14:45:00,2025-01-28 15:01:29,16,Walking,4.7,71.0,146,115,73,0,0,0,0,false,,,
2025-01-28 00:23:53,2025-01-29 01:30:59,UTC-05:00,2025-01-28 13:44:03,2025-01-28 14:32:38,48,Functional Fitness,6.0,175.0,156,110,36,8,0,0,0,false,,,
2025-01-26 23:52:32,2025-01-28 00:23:53,UTC-05:00,2025-01-27 14:42:00,2025-01-27 14:56:59,14,Walking,4.5,56.0,130,112,64,0,0,0,0,false,,,
2025-01-26 23:52:32,2025-01-28 00:23:53,UTC-05:00,2025-01-27 13:35:53,2025-01-27 14:30:23,54,Functional Fitness,5.7,169.0,148,107,36,2,0,0,0,false,,,
2025-01-23 00:40:08,2025-01-24 01:12:55,UTC-05:00,2025-01-23 19:22:30,2025-01-23 21:08:25,105,Lacrosse,14.8,1065.0,178,142,25,45,22,1,0,false,,,
2025-01-22 00:08:14,2025-01-23 00:40:08,UTC-05:00,2025-01-22 19:31:30,2025-01-22 20:35:59,64,Lacrosse,9.5,425.0,167,125,24,24,5,0,0,false,,,
2025-01-22 00:08:14,2025-01-23 00:40:08,UTC-05:00,2025-01-22 12:19:36,2025-01-22 13:16:53,57,Functional Fitness,6.5,212.0,157,110,8,9,0,0,0,false,,,
2025-01-20 23:45:00,2025-01-22 00:08:14,UTC-05:00,2025-01-21 19:28:30,2025-01-21 21:15:16,106,Lacrosse,13.6,930.0,172,136,31,42,9,0,0,false,,,
2025-01-20 23:45:00,2025-01-22 00:08:14,UTC-05:00,2025-01-21 12:50:18,2025-01-21 13:48:51,58,Functional Fitness,6.9,228.0,163,112,9,6,2,0,0,false,,,
2025-01-14 01:38:33,2025-01-15 00:24:43,UTC-05:00,2025-01-14 19:25:30,2025-01-14 21:08:59,103,Lacrosse,13.8,952.0,176,138,34,44,10,0,0,false,,,
2025-01-13 00:54:36,2025-01-14 01:38:33,UTC-05:00,2025-01-13 13:41:37,2025-01-13 15:31:43,110,Functional Fitness,8.2,394.0,163,109,10,5,0,0,0,false,,,
2025-01-11 00:12:01,2025-01-12 00:35:10,UTC-05:00,2025-01-11 17:55:30,2025-01-11 19:37:06,101,Activity,12.2,769.0,167,130,38,27,1,0,0,false,,,
2025-01-09 00:31:59,2025-01-10 00:30:35,UTC-05:00,2025-01-09 19:20:00,2025-01-09 21:00:00,100,Lacrosse,13.2,862.0,173,135,41,37,4,0,0,false,,,
2025-01-09 00:31:59,2025-01-10 00:30:35,UTC-05:00,2025-01-09 16:21:00,2025-01-09 16:37:29,16,Walking,4.5,54.0,130,109,0,0,0,0,0,false,,,
2025-01-08 01:11:19,2025-01-09 00:31:59,UTC-05:00,2025-01-08 14:28:30,2025-01-08 14:44:59,16,Walking,4.8,78.0,139,117,7,0,0,0,0,false,,,
2025-01-08 01:11:19,2025-01-09 00:31:59,UTC-05:00,2025-01-08 13:47:55,2025-01-08 14:17:15,29,Functional Fitness,4.2,48.0,128,97,0,0,0,0,0,false,,,
2025-01-07 01:20:44,2025-01-08 01:11:19,UTC-05:00,2025-01-07 12:58:18,2025-01-07 14:11:37,73,Functional Fitness,7.7,306.0,168,113,11,5,2,0,0,false,,,
2025-01-06 00:38:14,2025-01-07 01:20:44,UTC-05:00,2025-01-06 13:42:31,2025-01-06 14:45:45,63,Functional Fitness,8.0,287.0,168,114,9,10,5,0,0,false,,,
2024-12-24 00:10:19,2024-12-25 00:15:31,UTC-06:00,2024-12-24 14:22:30,2024-12-24 14:41:59,19,Basketball,7.2,194.0,162,144,20,68,9,0,0,false,,,
2024-12-24 00:10:19,2024-12-25 00:15:31,UTC-06:00,2024-12-24 10:15:27,2024-12-24 11:58:35,103,Golf,5.4,205.0,148,102,3,0,0,0,0,true,4178.45,84.65,-3.63
2024-12-20 23:30:06,2024-12-22 00:24:27,UTC-07:00,2024-12-21 12:27:00,2024-12-21 13:26:59,59,Skiing,7.9,304.0,169,118,23,13,5,0,0,false,,,
2024-12-19 23:27:53,2024-12-20 23:30:06,UTC-07:00,2024-12-20 11:13:04,2024-12-20 12:35:22,82,Functional Fitness,6.2,236.0,142,109,6,0,0,0,0,false,,,
2024-12-18 23:49:56,2024-12-19 23:27:53,UTC-07:00,2024-12-19 13:10:30,2024-12-19 14:20:29,69,Functional Fitness,5.3,164.0,155,103,6,0,0,0,0,false,,,
2024-12-17 00:01:43,2024-12-17 22:32:22,UTC-07:00,2024-12-17 13:45:02,2024-12-17 14:47:32,62,Functional Fitness,5.1,141.0,131,104,1,0,0,0,0,false,,,
2024-12-17 00:01:43,2024-12-17 22:32:22,UTC-07:00,2024-12-17 11:27:00,2024-12-17 11:56:59,29,Skiing,8.5,281.0,174,140,38,32,19,0,0,false,,,
2024-12-17 00:01:43,2024-12-17 22:32:22,UTC-07:00,2024-12-17 08:28:30,2024-12-17 09:17:59,49,Skiing,6.8,238.0,162,115,21,18,0,0,0,false,,,
2024-12-15 22:50:28,2024-12-17 00:01:43,UTC-07:00,2024-12-16 14:14:33,2024-12-16 15:00:09,45,Functional Fitness,5.3,135.0,141,108,11,0,0,0,0,false,,,
2024-12-13 23:12:35,2024-12-15 00:39:41,UTC-07:00,2024-12-14 11:30:47,2024-12-14 12:33:04,62,Functional Fitness,6.6,239.0,154,112,22,3,0,0,0,false,,,
2024-12-13 00:26:15,2024-12-13 23:12:35,UTC-07:00,2024-12-13 10:57:00,2024-12-13 12:04:29,67,Skiing,11.7,540.0,173,133,18,26,20,0,0,false,,,
2024-12-12 00:09:00,2024-12-13 00:26:15,UTC-07:00,2024-12-12 16:15:00,2024-12-12 16:31:29,16,Activity,5.4,109.0,157,126,36,18,1,0,0,false,,,
2024-12-12 00:09:00,2024-12-13 00:26:15,UTC-07:00,2024-12-12 11:12:00,2024-12-12 12:34:29,82,Walking,10.2,534.0,163,125,31,17,2,0,0,false,,,
2024-12-10 01:34:43,2024-12-11 01:34:43,UTC-05:00,2024-12-10 11:21:00,2024-12-10 11:44:59,23,Walking,5.2,113.0,151,117,23,2,0,0,0,false,,,
2024-12-06 01:20:10,2024-12-07 01:20:10,UTC-05:00,2024-12-06 15:25:30,2024-12-06 15:52:29,26,Golf,6.8,191.0,167,128,27,24,11,0,0,false,,,
2024-12-03 03:05:04,2024-12-04 03:32:34,UTC-05:00,2024-12-03 14:03:00,2024-12-03 14:20:59,17,Walking,4.4,47.0,127,107,0,0,0,0,0,false,,,
2024-11-19 00:32:58,2024-11-20 01:58:43,UTC-05:00,2024-11-19 13:31:30,2024-11-19 14:34:29,62,Lacrosse,8.1,345.0,165,119,27,9,1,0,0,false,,,
2024-11-16 00:05:49,2024-11-17 02:55:01,UTC-05:00,2024-11-16 12:21:00,2024-11-16 15:44:59,203,Lacrosse,16.9,1813.0,171,135,4,30,58,8,0,false,,,
2024-11-14 00:00:00,2024-11-15 01:48:09,UTC-05:00,2024-11-14 20:49:30,2024-11-14 22:43:29,113,Lacrosse,12.9,858.0,173,128,17,32,49,2,0,false,,,
2024-11-06 22:59:55,2024-11-08 05:33:14,UTC-05:00,2024-11-07 16:07:30,2024-11-07 16:22:29,14,Walking,4.9,85.0,137,119,15,85,0,0,0,false,,,
2024-11-06 22:59:55,2024-11-08 05:33:14,UTC-05:00,2024-11-07 09:39:06,2024-11-07 10:10:13,31,Functional Fitness,5.4,130.0,138,112,52,48,0,0,0,false,,,
2024-11-06 03:10:43,2024-11-06 22:59:55,UTC-05:00,2024-11-06 09:18:30,2024-11-06 10:00:54,42,Functional Fitness,5.7,166.0,143,110,49,45,0,0,0,false,,,
2024-11-04 23:38:40,2024-11-06 03:10:43,UTC-05:00,2024-11-05 21:16:30,2024-11-05 23:07:29,110,Lacrosse,13.6,918.0,173,132,14,23,55,7,0,false,,,
2024-11-03 23:48:15,2024-11-04 23:38:40,UTC-05:00,2024-11-04 09:26:22,2024-11-04 10:38:13,71,Functional Fitness,5.5,169.0,137,101,73,12,0,0,0,false,,,
2024-11-02 23:42:21,2024-11-03 23:48:15,UTC-05:00,2024-11-03 13:52:30,2024-11-03 16:38:59,166,Lacrosse,14.4,1232.0,175,128,15,39,43,3,0,false,,,
2024-11-01 01:35:06,2024-11-02 00:13:57,UTC-04:00,2024-11-01 14:01:30,2024-11-01 14:46:29,44,Golf,6.0,183.0,153,111,46,42,8,0,0,false,,,
2024-10-30 01:45:35,2024-10-30 23:23:31,UTC-04:00,2024-10-30 09:15:37,2024-10-30 10:06:32,50,Functional Fitness,4.9,112.0,135,97,55,12,0,0,0,false,,,
2024-10-25 00:05:27,2024-10-26 00:42:26,UTC-04:00,2024-10-25 12:06:00,2024-10-25 12:53:59,47,Golf,7.6,312.0,152,124,9,73,18,0,0,false,,,
2024-10-25 00:05:27,2024-10-26 00:42:26,UTC-04:00,2024-10-25 06:39:03,2024-10-25 07:26:44,47,Functional Fitness,5.7,161.0,144,108,68,30,1,0,0,false,,,
2024-10-25 00:05:27,2024-10-26 00:42:26,UTC-04:00,2024-10-25 06:15:00,2024-10-25 06:25:00,10,Running,7.0,120.0,177,150,11,5,17,67,0,false,,,
2024-10-24 00:20:26,2024-10-25 00:05:27,UTC-04:00,2024-10-24 16:25:30,2024-10-24 16:47:59,22,Walking,5.1,101.0,142,114,43,48,8,0,0,false,,,
2024-10-24 00:20:26,2024-10-25 00:05:27,UTC-04:00,2024-10-24 09:36:33,2024-10-24 10:20:01,43,Functional Fitness,6.0,178.0,160,110,45,29,11,0,0,false,,,
2024-10-23 02:25:20,2024-10-24 00:20:26,UTC-04:00,2024-10-23 11:09:00,2024-10-23 11:28:29,19,Walking,5.0,95.0,146,116,31,67,2,0,0,false,,,
2024-10-23 02:25:20,2024-10-24 00:20:26,UTC-04:00,2024-10-23 10:08:31,2024-10-23 11:00:36,52,Functional Fitness,6.7,228.0,153,113,47,31,15,0,0,false,,,
2024-10-22 00:54:23,2024-10-23 02:25:20,UTC-04:00,2024-10-22 21:28:30,2024-10-22 23:13:29,104,Lacrosse,13.5,847.0,184,131,14,29,45,12,0,false,,,
2024-10-20 23:45:57,2024-10-22 00:54:23,UTC-04:00,2024-10-21 09:35:27,2024-10-21 10:37:58,62,Functional Fitness,6.8,213.0,168,104,43,10,9,5,0,false,,,
2024-10-20 00:42:06,2024-10-20 23:45:57,UTC-04:00,2024-10-20 14:36:00,2024-10-20 16:10:29,94,Lacrosse,10.0,536.0,178,120,28,48,22,2,0,false,,,
2024-10-17 01:28:03,2024-10-18 01:42:26,UTC-04:00,2024-10-17 20:54:00,2024-10-17 22:40:29,106,Lacrosse,15.1,1095.0,186,142,1,14,63,22,0,false,,,
2024-10-17 01:28:03,2024-10-18 01:42:26,UTC-04:00,2024-10-17 10:42:00,2024-10-17 10:59:59,17,Walking,4.8,77.0,143,113,58,36,6,0,0,false,,,
2024-10-17 01:28:03,2024-10-18 01:42:26,UTC-04:00,2024-10-17 09:24:59,2024-10-17 10:39:00,74,Functional Fitness,4.7,131.0,128,96,59,6,0,0,0,false,,,
2024-10-16 01:13:42,2024-10-17 01:28:03,UTC-04:00,2024-10-16 09:19:51,2024-10-16 10:19:47,59,Functional Fitness,4.7,104.0,130,98,67,3,0,0,0,false,,,
2024-10-13 23:38:19,2024-10-15 01:35:09,UTC-04:00,2024-10-14 14:15:00,2024-10-14 14:32:59,17,Walking,4.5,51.0,127,106,68,26,0,0,0,false,,,
2024-10-12 00:40:13,2024-10-13 01:36:06,UTC-05:00,2024-10-12 18:01:30,2024-10-12 18:23:59,22,Walking,5.0,94.0,137,113,59,41,0,0,0,false,,,
2024-10-10 01:00:52,2024-10-10 23:53:42,UTC-04:00,2024-10-10 14:21:00,2024-10-10 14:38:59,17,Walking,5.1,93.0,158,119,35,49,16,0,0,false,,,
2024-10-08 01:52:11,2024-10-09 01:51:45,UTC-04:00,2024-10-08 21:31:30,2024-10-08 23:11:59,100,Lacrosse,13.1,854.0,172,135,2,34,58,6,0,false,,,
2024-10-04 02:08:11,2024-10-05 01:29:49,UTC-04:00,2024-10-04 11:50:47,2024-10-04 12:43:57,53,Functional Fitness,5.0,120.0,137,102,65,15,0,0,0,false,,,
2024-10-02 22:44:14,2024-10-04 02:08:11,UTC-04:00,2024-10-03 22:31:30,2024-10-04 00:02:59,91,Lacrosse,14.7,952.0,179,144,3,14,54,29,0,false,,,
2024-10-02 22:44:14,2024-10-04 02:08:11,UTC-04:00,2024-10-03 09:28:04,2024-10-03 10:25:36,57,Functional Fitness,5.1,130.0,149,102,62,16,1,0,0,false,,,
2024-10-02 00:16:52,2024-10-02 22:44:14,UTC-04:00,2024-10-02 09:34:42,2024-10-02 10:31:35,56,Functional Fitness,5.2,145.0,140,103,58,23,0,0,0,false,,,
2024-10-01 00:03:46,2024-10-02 00:16:52,UTC-04:00,2024-10-01 13:03:22,2024-10-01 13:52:48,49,Functional Fitness,5.3,139.0,132,105,59,29,0,0,0,false,,,
2024-09-29 23:01:09,2024-10-01 00:03:46,UTC-04:00,2024-09-30 13:22:05,2024-09-30 14:31:52,69,Functional Fitness,4.7,126.0,137,96,55,8,0,0,0,false,,,
2024-09-26 00:55:14,2024-09-27 03:16:46,UTC-04:00,2024-09-26 09:25:43,2024-09-26 10:30:51,65,Functional Fitness,4.9,127.0,136,100,67,11,0,0,0,false,,,
2024-09-25 03:03:02,2024-09-26 00:55:14,UTC-04:00,2024-09-25 09:45:00,2024-09-25 11:30:00,105,Functional Fitness,7.2,294.0,164,103,54,11,5,1,0,false,,,
2024-09-24 00:55:01,2024-09-25 03:03:02,UTC-04:00,2024-09-24 22:30:00,2024-09-25 00:00:00,90,Lacrosse,14.7,965.0,180,145,1,11,55,33,0,false,,,
2024-09-24 00:55:01,2024-09-25 03:03:02,UTC-04:00,2024-09-24 09:45:24,2024-09-24 10:37:16,51,Functional Fitness,5.5,154.0,137,106,53,32,0,0,0,false,,,
2024-09-23 00:09:41,2024-09-24 00:55:01,UTC-04:00,2024-09-23 09:20:56,2024-09-23 10:22:44,61,Functional Fitness,4.5,109.0,133,97,52,10,0,0,0,false,,,
2024-09-22 01:22:43,2024-09-23 00:09:41,UTC-04:00,2024-09-22 14:00:00,2024-09-22 16:07:29,127,Lacrosse,15.7,1225.0,181,141,6,17,48,29,0,false,,,
2024-09-20 02:01:52,2024-09-21 01:39:50,UTC-04:00,2024-09-20 19:16:30,2024-09-20 19:31:29,14,Walking,4.3,34.0,146,103,67,14,3,0,0,false,,,
2024-09-19 00:04:15,2024-09-20 02:01:52,UTC-04:00,2024-09-19 22:30:00,2024-09-20 00:00:00,90,Lacrosse,14.8,979.0,181,147,0,7,62,31,0,false,,,
2024-09-19 00:04:15,2024-09-20 02:01:52,UTC-04:00,2024-09-19 16:24:00,2024-09-19 16:41:59,17,Walking,4.9,81.0,143,117,41,53,6,0,0,false,,,
2024-09-19 00:04:15,2024-09-20 02:01:52,UTC-04:00,2024-09-19 11:03:00,2024-09-19 11:19:29,16,Walking,4.6,59.0,139,112,56,44,0,0,0,false,,,
2024-09-19 00:04:15,2024-09-20 02:01:52,UTC-04:00,2024-09-19 09:29:42,2024-09-19 10:32:06,62,Functional Fitness,5.2,141.0,146,102,61,16,2,0,0,false,,,
2024-09-18 00:50:20,2024-09-19 00:04:15,UTC-04:00,2024-09-18 09:15:00,2024-09-18 10:34:00,79,Functional Fitness,6.2,221.0,164,103,49,12,7,1,0,false,,,
2024-09-17 00:09:20,2024-09-18 00:50:20,UTC-04:00,2024-09-17 09:35:00,2024-09-17 10:40:00,65,Functional Fitness,4.7,121.0,131,98,56,10,0,0,0,false,,,
2024-09-15 23:38:26,2024-09-17 00:09:20,UTC-04:00,2024-09-16 16:31:30,2024-09-16 16:46:29,14,Walking,4.3,34.0,129,105,73,19,0,0,0,false,,,
2024-09-15 23:38:26,2024-09-17 00:09:20,UTC-04:00,2024-09-16 09:30:00,2024-09-16 10:47:00,77,Functional Fitness,5.4,181.0,158,100,49,8,6,0,0,false,,,
2024-09-15 01:53:56,2024-09-15 23:38:26,UTC-04:00,2024-09-15 16:34:30,2024-09-15 18:13:29,98,Lacrosse,13.9,914.0,179,139,5,23,51,21,0,false,,,
2024-09-14 01:06:47,2024-09-15 01:53:56,UTC-04:00,2024-09-14 16:34:30,2024-09-14 17:35:59,61,Lacrosse,12.2,574.0,183,139,5,25,52,17,1,false,,,
2024-09-14 01:06:47,2024-09-15 01:53:56,UTC-04:00,2024-09-14 10:48:00,2024-09-14 11:02:59,14,Golf,4.1,25.0,125,98,58,9,0,0,0,false,,,
2024-09-13 01:46:05,2024-09-14 01:06:47,UTC-04:00,2024-09-13 12:05:00,2024-09-13 13:04:00,59,Functional Fitness,4.5,105.0,134,95,44,9,0,0,0,false,,,
2024-09-12 00:47:18,2024-09-13 01:46:05,UTC-04:00,2024-09-12 19:04:30,2024-09-12 19:25:29,20,Walking,4.8,82.0,138,112,55,43,0,0,0,false,,,
2024-09-12 00:47:18,2024-09-13 01:46:05,UTC-04:00,2024-09-12 10:05:00,2024-09-12 11:00:00,55,Weightlifting,4.9,114.0,131,99,66,8,0,0,0,false,,,
2024-09-12 00:47:18,2024-09-13 01:46:05,UTC-04:00,2024-09-12 09:40:30,2024-09-12 10:00:29,19,Walking,5.3,104.0,155,118,43,40,17,0,0,false,,,
2024-09-11 01:12:35,2024-09-12 00:47:18,UTC-04:00,2024-09-11 21:00:00,2024-09-11 22:47:00,107,Lacrosse,15.2,1096.0,179,143,3,19,49,29,0,false,,,
2024-09-11 01:12:35,2024-09-12 00:47:18,UTC-04:00,2024-09-11 09:22:24,2024-09-11 10:56:34,94,Functional Fitness,9.0,404.0,163,112,44,23,16,2,0,false,,,
2024-09-10 00:40:46,2024-09-11 01:12:35,UTC-04:00,2024-09-10 13:22:00,2024-09-10 14:08:19,46,Weightlifting,5.6,157.0,138,109,63,34,0,0,0,false,,,
2024-09-10 00:40:46,2024-09-11 01:12:35,UTC-04:00,2024-09-10 11:16:30,2024-09-10 11:34:29,17,Walking,4.9,87.0,146,116,38,59,3,0,0,false,,,
2024-09-09 04:01:38,2024-09-10 00:40:46,UTC-04:00,2024-09-09 16:33:00,2024-09-09 17:01:29,28,Walking,5.2,120.0,141,110,23,56,1,0,0,false,,,
2024-09-09 04:01:38,2024-09-10 00:40:46,UTC-04:00,2024-09-09 10:30:00,2024-09-09 11:20:00,50,Lacrosse,10.2,449.0,167,136,2,30,62,6,0,false,,,
2024-09-09 04:01:38,2024-09-10 00:40:46,UTC-04:00,2024-09-09 09:25:30,2024-09-09 10:09:29,43,Weightlifting,5.0,107.0,139,103,65,19,0,0,0,false,,,
2024-09-08 01:36:25,2024-09-09 04:01:38,UTC-04:00,2024-09-08 13:09:00,2024-09-08 13:32:59,23,Walking,5.1,106.0,145,114,51,47,2,0,0,false,,,
2024-09-08 01:36:25,2024-09-09 04:01:38,UTC-04:00,2024-09-08 11:15:00,2024-09-08 12:43:00,88,Weightlifting,7.0,300.0,142,108,55,34,1,0,0,false,,,
2024-09-07 02:50:49,2024-09-08 01:36:25,UTC-04:00,2024-09-07 20:28:30,2024-09-07 20:43:29,14,Walking,4.8,71.0,139,115,42,55,3,0,0,false,,,
2024-09-07 02:50:49,2024-09-08 01:36:25,UTC-04:00,2024-09-07 18:58:30,2024-09-07 19:14:59,16,Hiking,4.8,72.0,142,113,46,50,4,0,0,false,,,
